date,close,macd_histogram,macd_macd,macd_signal
2024-03-01 20:33:00,3432.64,0.712,2.1055,1.3934
2024-03-01 20:34:00,3433.3,0.4703,1.9813,1.511
2024-03-01 20:35:00,3434.31,0.3448,1.9421,1.5972
2024-03-01 20:36:00,3436.8,0.3925,2.0878,1.6953
2024-03-01 20:37:00,3436.3,0.3544,2.1383,1.7839
2024-03-01 20:38:00,3433.7,0.1297,1.9461,1.8164
2024-03-01 20:39:00,3435.1,0.0549,1.885,1.8301
2024-03-01 20:40:00,3433.58,-0.1085,1.6944,1.803
2024-03-01 20:41:00,3432.36,-0.2996,1.4285,1.7281
2024-03-01 20:42:00,3432.89,-0.3856,1.2461,1.6317
2024-03-01 20:43:00,3433.15,-0.4175,1.1097,1.5273
2024-03-01 20:44:00,3433.74,-0.392,1.0373,1.4293
2024-03-01 20:45:00,3432.8,-0.4284,0.8938,1.3222
2024-03-01 20:46:00,3435.7,-0.2558,1.0025,1.2583
2024-03-01 20:47:00,3435.17,-0.1794,1.034,1.2134
2024-03-01 20:48:00,3435.5,-0.1122,1.0732,1.1853
2024-03-01 20:49:00,3431.6,-0.3239,0.7805,1.1044
2024-03-01 20:50:00,3427.8,-0.6921,0.2392,0.9313
2024-03-01 20:51:00,3426,-1.01,-0.3312,0.6788
2024-03-01 20:52:00,3427.9,-1.0413,-0.6228,0.4185
2024-03-01 20:53:00,3428.8,-0.9527,-0.7723,0.1804
2024-03-01 20:54:00,3430.4,-0.7467,-0.753,-0.0063
2024-03-01 20:55:00,3434.99,-0.2855,-0.3632,-0.0777
2024-03-01 20:56:00,3438.42,0.2382,0.22,-0.0182
2024-03-01 20:57:00,3442.5,0.8144,0.9999,0.1854
2024-03-01 20:58:00,3447,1.4184,1.9585,0.54
2024-03-01 20:59:00,3451.9,2.0304,3.0781,1.0476
2024-03-01 21:00:00,3447.6,2.0236,3.5771,1.5535
2024-03-01 21:01:00,3436.85,1.213,3.0698,1.8568
2024-03-01 21:02:00,3439.4,0.7872,2.8408,2.0536
2024-03-01 21:03:00,3432.4,0.0136,2.0706,2.057
2024-03-01 21:04:00,3433.28,-0.4346,1.5138,1.9484
2024-03-01 21:05:00,3430.7,-0.8751,0.8544,1.7296
2024-03-01 21:06:00,3435.3,-0.8276,0.6951,1.5227
2024-03-01 21:07:00,3431.2,-1.0299,0.2352,1.2652
2024-03-01 21:08:00,3434.4,-0.9101,0.1276,1.0377
2024-03-01 21:09:00,3432.1,-0.9435,-0.1417,0.8018
2024-03-01 21:10:00,3437.2,-0.5968,0.0557,0.6526
2024-03-01 21:11:00,3444.25,0.0957,0.7722,0.6765
2024-03-01 21:12:00,3444.3,0.5218,1.3287,0.8069
2024-03-01 21:13:00,3443.6,0.7095,1.6938,0.9843
2024-03-01 21:14:00,3446.6,0.9724,2.1998,1.2274
2024-03-01 21:15:00,3448.6,1.2026,2.7307,1.5281
2024-03-01 21:16:00,3445.9,1.0977,2.9002,1.8025
2024-03-01 21:17:00,3449.55,1.1909,3.2911,2.1002
2024-03-01 21:18:00,3451.8,1.3113,3.7393,2.428
2024-03-01 21:19:00,3444.6,0.8364,3.4735,2.6371
2024-03-01 21:20:00,3443.5,0.4006,3.1379,2.7373
2024-03-01 21:21:00,3443.9,0.1071,2.8712,2.764
2024-03-01 21:22:00,3439.7,-0.3757,2.2944,2.6701
2024-03-01 21:23:00,3441.4,-0.5745,1.952,2.5265
2024-03-01 21:24:00,3439.1,-0.8388,1.478,2.3168
2024-03-01 21:25:00,3439.2,-0.9752,1.0977,2.073
2024-03-01 21:26:00,3439.1,-1.0349,0.7794,1.8143
2024-03-01 21:27:00,3439.4,-1.0154,0.545,1.5604
2024-03-01 21:28:00,3440.5,-0.894,0.4429,1.3369
2024-03-01 21:29:00,3440.24,-0.7999,0.3371,1.1369
2024-03-01 21:30:00,3440.85,-0.6703,0.299,0.9693
2024-03-01 21:31:00,3442.2,-0.4767,0.3735,0.8502
2024-03-01 21:32:00,3437.8,-0.6189,0.0766,0.6954
2024-03-01 21:33:00,3439.1,-0.5989,-0.0532,0.5457
2024-03-01 21:34:00,3437.1,-0.6877,-0.3139,0.3738
2024-03-01 21:35:00,3436.23,-0.7661,-0.5839,0.1823
2024-03-01 21:36:00,3436,-0.7915,-0.8071,-0.0156
2024-03-01 21:37:00,3436.35,-0.7434,-0.9449,-0.2015
2024-03-01 21:38:00,3435.75,-0.7108,-1.09,-0.3792
2024-03-01 21:39:00,3433.38,-0.8009,-1.3803,-0.5794
2024-03-01 21:40:00,3435.1,-0.7003,-1.4547,-0.7545
2024-03-01 21:41:00,3432.7,-0.7468,-1.688,-0.9412
2024-03-01 21:42:00,3432.97,-0.711,-1.8299,-1.1189
2024-03-01 21:43:00,3432.6,-0.6647,-1.9498,-1.2851
2024-03-01 21:44:00,3434.13,-0.4915,-1.8995,-1.408
2024-03-01 21:45:00,3435.7,-0.2441,-1.7131,-1.469
2024-03-01 21:46:00,3434.9,-0.114,-1.6115,-1.4975
2024-03-01 21:47:00,3433.4,-0.1085,-1.6331,-1.5246
2024-03-01 21:48:00,3432.9,-0.1173,-1.6713,-1.554
2024-03-01 21:49:00,3428.8,-0.3642,-2.0093,-1.645
2024-03-01 21:50:00,3429.9,-0.4147,-2.1634,-1.7487
2024-03-01 21:51:00,3428,-0.5299,-2.4111,-1.8812
2024-03-01 21:52:00,3428.3,-0.538,-2.5537,-2.0157
2024-03-01 21:53:00,3427.9,-0.5221,-2.6683,-2.1462
2024-03-01 21:54:00,3427.7,-0.4779,-2.7436,-2.2657
2024-03-01 21:55:00,3429.4,-0.296,-2.6357,-2.3397
2024-03-01 21:56:00,3430.3,-0.0877,-2.4493,-2.3616
2024-03-01 21:57:00,3431.7,0.1583,-2.1637,-2.322
2024-03-01 21:58:00,3431.5,0.3126,-1.9313,-2.2439
2024-03-01 21:59:00,3430.93,0.377,-1.7726,-2.1496
2024-03-01 22:00:00,3429.6,0.3323,-1.7342,-2.0665
2024-03-01 22:01:00,3428.1,0.21,-1.804,-2.014
2024-03-01 22:02:00,3428.4,0.1599,-1.8142,-1.9741
2024-03-01 22:03:00,3429,0.1763,-1.7536,-1.93
2024-03-01 22:04:00,3427.4,0.0929,-1.8138,-1.9067
2024-03-01 22:05:00,3428.5,0.1233,-1.7526,-1.8759
2024-03-01 22:06:00,3430.6,0.287,-1.5171,-1.8042
2024-03-01 22:07:00,3432.9,0.5378,-1.1319,-1.6697
2024-03-01 22:08:00,3433.1,0.6948,-0.8012,-1.496
2024-03-01 22:09:00,3434.3,0.847,-0.4372,-1.2842
2024-03-01 22:10:00,3433.5,0.8587,-0.2109,-1.0696
2024-03-01 22:11:00,3436.5,1.0221,0.2081,-0.814
2024-03-01 22:12:00,3436.29,1.0651,0.5173,-0.5478
2024-03-01 22:13:00,3438.5,1.1822,0.9299,-0.2522
2024-03-01 22:14:00,3436.55,1.0714,1.087,0.0156
2024-03-01 22:15:00,3438.5,1.0702,1.3533,0.2832
2024-03-01 22:16:00,3437.24,0.9303,1.446,0.5157
2024-03-01 22:17:00,3434,0.5824,1.2437,0.6613
2024-03-01 22:18:00,3435.02,0.3928,1.1524,0.7595
2024-03-01 22:19:00,3432.8,0.1049,0.8906,0.7857
2024-03-01 22:20:00,3432.8,-0.0883,0.6754,0.7637
2024-03-01 22:21:00,3432.3,-0.2436,0.4591,0.7028
2024-03-01 22:22:00,3434,-0.2261,0.4201,0.6462
2024-03-01 22:23:00,3437.3,0.0014,0.648,0.6466
2024-03-01 22:24:00,3436.32,0.0755,0.741,0.6655
2024-03-01 22:25:00,3438.6,0.2574,0.9873,0.7298
2024-03-01 22:26:00,3435.3,0.1407,0.9057,0.765
2024-03-01 22:27:00,3435.61,0.073,0.8563,0.7833
2024-03-01 22:28:00,3435.1,-0.013,0.767,0.78
2024-03-01 22:29:00,3434.8,-0.0924,0.6645,0.7569
2024-03-01 22:30:00,3432.7,-0.2783,0.409,0.6873
2024-03-01 22:31:00,3429.2,-0.6098,-0.075,0.5349
2024-03-01 22:32:00,3432.8,-0.5608,-0.1661,0.3947
2024-03-01 22:33:00,3434.1,-0.4213,-0.132,0.2893
2024-03-01 22:34:00,3432.6,-0.4102,-0.2234,0.1868
2024-03-01 22:35:00,3430.2,-0.5365,-0.4839,0.0527
2024-03-01 22:36:00,3431.25,-0.5211,-0.5987,-0.0776
2024-03-01 22:37:00,3434.6,-0.2696,-0.4146,-0.145
2024-03-01 22:38:00,3435.46,-0.0416,-0.197,-0.1554
2024-03-01 22:39:00,3436.8,0.1904,0.0826,-0.1078
2024-03-01 22:40:00,3433.61,0.1232,0.0462,-0.077
2024-03-01 22:41:00,3434.7,0.1449,0.1042,-0.0408
2024-03-01 22:42:00,3436.2,0.247,0.268,0.021
2024-03-01 22:43:00,3437.4,0.3745,0.4891,0.1146
2024-03-01 22:44:00,3432.36,0.112,0.2546,0.1426
2024-03-01 22:45:00,3429.6,-0.2358,-0.1521,0.0837
2024-03-01 22:46:00,3430.9,-0.3592,-0.3653,-0.0061
2024-03-01 22:47:00,3429.21,-0.5255,-0.6631,-0.1375
2024-03-01 22:48:00,3433.5,-0.3272,-0.5465,-0.2193
2024-03-01 22:49:00,3433.6,-0.1774,-0.441,-0.2637
2024-03-01 22:50:00,3433.4,-0.0845,-0.3693,-0.2848
2024-03-01 22:51:00,3430.61,-0.1973,-0.5315,-0.3341
2024-03-01 22:52:00,3434.1,-0.0319,-0.3741,-0.3421
